institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1985,5,Gastropoda,Pulmonata,Arionidae,Arion,Hedgehog Slug,Arion (Kobeltia) intermedius
Natural Resources Wales,,O,1996,11,Bivalvia,Veneroida,Veneridae,Chamelea,Striped Venus,Chamelea gallina
Natural Resources Wales,,A,2008,5,Bivalvia,Mytiloida,Mytilidae,Modiolus,Horse-mussel,Modiolus modiolus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,10,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Pod Razor Shell,Ensis siliqua
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1991,11,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
SEWBReC,SEWBReC Molluscs (South Wales),,2014,7,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2005,7,Bivalvia,Veneroida,Psammobiidae,Gari,Faroe Sunset Shell,Gari fervensis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2007,4,Bivalvia,Veneroida,Montacutidae,Kurtiella,,Kurtiella bidentata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1970,4,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Cellar Snail,Oxychilus (Oxychilus) cellarius
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Seasearch,Seasearch Marine Surveys in Wales,,2008,6,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera quadrilineata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,10,Gastropoda,Hygrophila,Physidae,,,Physidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1996,11,Gastropoda,Littorinimorpha,Rissoidae,Manzonia,,Manzonia crassa
Natural Resources Wales,,2,2005,8,Bivalvia,Mytiloida,Mytilidae,Modiolus,Horse-mussel,Modiolus modiolus
Natural Resources Wales,,,1998,5,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Flat Periwinkle,Littorina obtusata
Joint Nature Conservation Committee,,,2003,7,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Natural Resources Wales,,17,2009,4,Bivalvia,Myoida,Corbulidae,Corbula,Common basket-shell,Corbula gibba
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,5,Gastropoda,Pulmonata,Arionidae,Arion,Green-soled Slug,Arion (Arion) flagellus
NRW,Welsh Invertebrate Database (WID),,1987,1,Gastropoda,Pulmonata,Vertiginidae,Columella,,Columella edentula seg.
Cofnod,NRW Regional Data: North Wales,,1998,2,Gastropoda,Pulmonata,Pristilomatidae,Vitrea,Crystal Snail,Vitrea crystallina
BIS,Natural Resources Wales Regional Data : Mid-Wales,,1989,7,Gastropoda,Pulmonata,Euconulidae,Euconulus,,Euconulus (Euconulus) cf. alderi
NRW,Welsh Invertebrate Database (WID),,1997,7,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,6,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Flat Periwinkle,Littorina obtusata
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,1977,4,Bivalvia,[unassigned] Euheterodonta,Hiatellidae,Hiatella,Wrinkled Rock Borer,Hiatella arctica
Natural Resources Wales,,9,2004,9,Bivalvia,Veneroida,Veneridae,Timoclea,Oval Venus,Timoclea ovata
Natural Resources Wales,,,1997,7,Gastropoda,,Patellidae,Patella,,Patella
NRW,Welsh Invertebrate Database (WID),,1997,6,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex
NRW,Welsh Invertebrate Database (WID),,1998,9,Gastropoda,Pulmonata,Punctidae,Punctum,Dwarf Snail,Punctum (Punctum) pygmaeum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1997,5,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
