institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1968,3,Gastropoda,Pulmonata,,Lauria,Common Chrysalis Snail,Lauria (Lauria) cylindracea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2017,2,Gastropoda,Pulmonata,Vertiginidae,Columella,,Columella aspera
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,3,2018,2,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,20,2002,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1969,9,Gastropoda,Pulmonata,Vitrinidae,Vitrina,Winter Semi-slug,Vitrina pellucida
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1992,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,29,1998,6,Bivalvia,Veneroida,Tellinidae,Tellina,Bean-Like Tellin,Tellina fabula
Natural Resources Wales,,2,2010,6,Bivalvia,Veneroida,Semelidae,Abra,,Abra
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Bivalvia,Veneroida,Sphaeriidae,Sphaerium,Horny Orb Mussel,Sphaerium corneum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1996,5,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2008,9,Bivalvia,Veneroida,Veneridae,Venus,Warty Venus,Venus verrucosa
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
CEDaR,Agri-Food and Biosciences Institute Marine Surveys,1,2014,11,Bivalvia,Veneroida,Veneridae,Timoclea,Oval Venus,Timoclea ovata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1995,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,1,2008,2,Bivalvia,Veneroida,Mactridae,,,Mactridae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2014,6,Gastropoda,,Pyramidellidae,Turbonilla,,Turbonilla lactea
Joint Nature Conservation Committee,,F,1997,5,Bivalvia,Pectinoida,Anomiidae,Pododesmus,,Pododesmus patelliformis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2017,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1997,9,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,Laver Spire Shell,Peringia ulvae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,11,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Flat Periwinkle,Littorina obtusata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1990,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2007,10,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
NRW,Welsh Invertebrate Database (WID),,,,Gastropoda,Pulmonata,Cochlicellidae,Cochlicella,Pointed Snail,Cochlicella (Cochlicella) acuta
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,7,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Natural Resources Wales,,R,1993,10,Bivalvia,Lucinoida,Lucinidae,Lucinoma,,Lucinoma borealis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2000,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2007,3,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Cofnod,Miscellaneous records held on the Cofnod database,,2016,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1984,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Natural Resources Wales,,3,2004,5,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,Alvania beanii
Seasearch,Seasearch Marine Surveys in Wales,,2011,7,Gastropoda,Nudibranchia,Flabellinidae,Edmundsella,,Edmundsella pedata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2015,9,Gastropoda,Neogastropoda,Mangeliidae,Mangelia,,Mangelia costata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1991,10,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,P,2004,8,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,Laver Spire Shell,Peringia ulvae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,2000,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,7,Gastropoda,Neogastropoda,Mangeliidae,Mangelia,,Mangelia costata
Natural Resources Wales,,1,1998,5,Bivalvia,Anomalodesmata,Thraciidae,Thracia,,Thracia
Seasearch,Seasearch Marine Surveys in Wales,,2013,8,Bivalvia,Pectinoida,Pectinidae,Aequipecten,Queen scallop,Aequipecten opercularis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,8,2005,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Marsh Whorl Snail,Vertigo (Vertigo) antivertigo
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,8,Bivalvia,Veneroida,Veneridae,Chamelea,Striped Venus,Chamelea gallina
Natural Resources Wales,,P,1988,6,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,,Acanthochitona crinita
Natural Resources Wales,,,1999,4,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Common Razor Shell,Ensis ensis
Natural Resources Wales,,F,1963,6,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Joint Nature Conservation Committee,,323,1989,7,Bivalvia,Veneroida,Montacutidae,Kurtiella,,Kurtiella bidentata
Cofnod,Miscellaneous records held on the Cofnod database,,2016,7,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum
West Wales Biodiversity Information Centre,,,1990,7,Gastropoda,Pulmonata,Carychiidae,Carychium,Short-toothed Herald Snail,Carychium minimum
NRW,Welsh Invertebrate Database (WID),,2004,,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Great Pond Snail,Lymnaea stagnalis
SEWBReC,SEWBReC Molluscs (South Wales),,2002,4,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2001,8,Bivalvia,Mytiloida,Mytilidae,Musculus,Green Crenella,Musculus discors
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2018,7,Gastropoda,Pulmonata,Clausiliidae,Clausilia,Two-toothed Door Snail,Clausilia (Clausilia) bidentata
Natural Resources Wales,,O,1998,11,Bivalvia,Veneroida,Veneridae,Timoclea,Oval Venus,Timoclea ovata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,7,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
SEWBReC,SEWBReC Molluscs (South Wales),,2001,5,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Cellar Snail,Oxychilus (Oxychilus) cellarius
Natural Resources Wales,,,2000,5,Bivalvia,Veneroida,Semelidae,Scrobicularia,Peppery Furrow Shell,Scrobicularia plana
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,7,2016,9,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
NRW,Welsh Invertebrate Database (WID),169,2004,9,Bivalvia,Veneroida,Sphaeriidae,Sphaerium,Horny Orb Mussel,Sphaerium corneum
Natural Resources Wales,,R,1996,10,Gastropoda,,Pyramidellidae,Turbonilla,,Turbonilla lactea
SEWBReC,SEWBReC Molluscs (South Wales),,2016,2,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
NRW,Welsh Invertebrate Database (WID),2,1988,10,Gastropoda,Pulmonata,Punctidae,Punctum,Dwarf Snail,Punctum (Punctum) pygmaeum
NRW,Welsh Invertebrate Database (WID),,1995,5,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,4,Bivalvia,Veneroida,Semelidae,Abra,,Abra alba
Joint Nature Conservation Committee,,1,1995,7,Bivalvia,Veneroida,Montacutidae,Tellimya,,Tellimya ferruginosa
Natural Resources Wales,,,2005,8,Bivalvia,Unionoida,Margaritiferidae,Margaritifera,Freshwater Pearl Mussel,Margaritifera (Margaritifera) margaritifera
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1989,8,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre
Natural Resources Wales,,19,2010,7,Bivalvia,,,,Bivalves,Bivalvia
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2005,9,Gastropoda,,Pyramidellidae,Turbonilla,,Turbonilla lactea
Natural Resources Wales,,,2001,4,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
SEWBReC,Dr Mary Gillham Archive Project,,1978,5,Gastropoda,Pulmonata,Valloniidae,Vallonia,Eccentric Grass Snail,Vallonia cf. excentrica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2007,9,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,5,2010,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Joint Nature Conservation Committee,,O,1995,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Seasearch,Seasearch Marine Surveys in Wales,,2015,8,Gastropoda,Nudibranchia,Goniodorididae,Goniodoris,,Goniodoris nodosa
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,9,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Natural Resources Wales,,0,2004,9,Bivalvia,Myoida,Pholadidae,,,Pholadidae
NRW,Welsh Invertebrate Database (WID),,2012,6,Gastropoda,Hygrophila,Planorbidae,Hippeutis,Flat Ramshorn,Hippeutis complanatus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2001,10,Bivalvia,Veneroida,Semelidae,Scrobicularia,Peppery Furrow Shell,Scrobicularia plana
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1976,4,Gastropoda,Pulmonata,Azecidae,Azeca,Three-toothed Moss Snail,Azeca goodalli
Marine Biological Association,,3,1999,9,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,,Leptochiton cancellatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1995,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1987,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2005,3,Gastropoda,Pulmonata,Oxychilidae,Nesovitrea,Rayed Glass Snail,Nesovitrea (Perpolita) hammonis
Natural Resources Wales,,,1999,4,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Natural Resources Wales,,,2000,8,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Natural Resources Wales,,1,2007,6,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,Laver Spire Shell,Peringia ulvae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1996,4,Bivalvia,Pectinoida,Anomiidae,Pododesmus,,Pododesmus patelliformis
Natural Resources Wales,,R,1996,3,Bivalvia,Mytiloida,Mytilidae,Musculus,,Musculus costulatus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1987,,Gastropoda,Pulmonata,Valloniidae,Vallonia,Ribbed Grass Snail,Vallonia costata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (rare and scarce species),,1970,7,Gastropoda,Architaenioglossa,Aciculidae,Acicula,Point Snail,Acicula fusca
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Pristilomatidae,Vitrea,Crystal Snail,Vitrea crystallina
Seasearch,Seasearch Marine Surveys in Wales,,2018,10,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
Joint Nature Conservation Committee,,7,1995,7,Bivalvia,Veneroida,Semelidae,Scrobicularia,Peppery Furrow Shell,Scrobicularia plana
Natural Resources Wales,,,1999,4,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,9,Gastropoda,Pulmonata,Cochlicellidae,Cochlicella,Pointed Snail,Cochlicella (Cochlicella) acuta
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1992,4,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,R,1997,8,Bivalvia,Veneroida,Semelidae,Abra,,Abra tenuis
Cofnod,Miscellaneous records held on the Cofnod database,,2016,6,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
Natural Resources Wales,,,2001,6,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,,Acanthochitona
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2010,4,Gastropoda,Hygrophila,Physidae,,,Physidae
NRW,Welsh Invertebrate Database (WID),,2000,6,Gastropoda,Littorinimorpha,Bithyniidae,Bithynia,Common Bithynia,Bithynia tentaculata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,3,2014,9,Gastropoda,Hygrophila,Physidae,,,Physidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1987,,Gastropoda,Hygrophila,Planorbidae,Planorbarius,Great Ramshorn,Planorbarius corneus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,4,Bivalvia,Mytiloida,Mytilidae,Musculus,Green Crenella,Musculus discors
Joint Nature Conservation Committee,,O,1997,4,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,1,2018,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,,Littorina obtusata/fabalis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1970,7,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Rosy Pea Shell,Pisidium milium
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1993,8,Bivalvia,Veneroida,Sphaeriidae,Sphaerium,,Sphaerium
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Short-ended Pea Mussel,Pisidium subtruncatum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,4,Bivalvia,Veneroida,Veneridae,Turtonia,,Turtonia minuta
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1993,5,Gastropoda,[unassigned] Caenogastropoda,Turritellidae,Turritella,Auger Shell,Turritella communis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1670,,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Rosy Pea Shell,Pisidium milium
Natural Resources Wales,,17,1999,6,Bivalvia,Pectinoida,Pectinidae,Mimachlamys,Variegated Scallop,Mimachlamys varia
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,14,2019,5,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,Welsh Invertebrate Database (WID),,1997,6,Gastropoda,Pulmonata,Succineidae,Succinea,Large Amber Snail,Succinea putris
Natural Resources Wales,,P,1975,7,Gastropoda,Nudibranchia,Fionidae,Eubranchus,,Eubranchus pallidus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1969,7,Gastropoda,Pulmonata,Lauriidae,Leiostyla,English Chrysalis Snail,Leiostyla (Leiostyla) anglica
SEWBReC,SEWBReC Molluscs (South Wales),,1977,,Bivalvia,Veneroida,Donacidae,Donax,Banded wedge-shell,Donax vittatus
Natural Resources Wales,,O,1979,4,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1985,5,Gastropoda,Pulmonata,Helicidae,Cepaea,Brown-lipped Snail,Cepaea (Cepaea) nemoralis
Seasearch,Seasearch Marine Surveys in Wales,,2011,10,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1892,,Gastropoda,Pulmonata,Lauriidae,Leiostyla,English Chrysalis Snail,Leiostyla (Leiostyla) anglica
Natural Resources Wales,,P,1993,5,Gastropoda,Littorinimorpha,Rissoidae,Cingula,,Cingula trifasciata
SEWBReC,SEWBReC Molluscs (South Wales),,2011,9,Gastropoda,Pulmonata,Arionidae,Arion,Green-soled Slug,Arion (Arion) flagellus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1999,9,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Geyer's Whorl Snail,Vertigo (Vertigo) geyeri
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,7,Gastropoda,Littorinimorpha,Iravadiidae,Hyala,,Hyala vitrea
NRW,Welsh Invertebrate Database (WID),,2012,7,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Great Pond Snail,Lymnaea stagnalis
Natural Resources Wales,,O,2010,6,Cephalopoda,Octopoda,Octopodidae,Eledone,Curled Octopus,Eledone cirrhosa
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,7,Bivalvia,Anomalodesmata,Thraciidae,Thracia,,Thracia phaseolina
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,2000,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Natural Resources Wales,,,1978,7,Gastropoda,Pulmonata,Hygromiidae,Helicella,Heath Snail,Helicella itala
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,1991,5,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Great Pond Snail,Lymnaea stagnalis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Marsh Whorl Snail,Vertigo (Vertigo) antivertigo
Natural Resources Wales,,P,1991,6,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera faeroensis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,12,2009,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,Welsh Invertebrate Database (WID),,1996,8,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica
NRW,Welsh Invertebrate Database (WID),,1985,4,Gastropoda,,Valvatidae,Valvata,Valve Snail,Valvata piscinalis
NRW,Welsh Invertebrate Database (WID),,1994,4,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2009,5,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2006,6,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,Welsh Invertebrate Database (WID),7,1988,8,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2005,4,Gastropoda,Hygrophila,Planorbidae,,Indet. Ramshorn,Planorbidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (rare and scarce species),,1987,11,Gastropoda,Pulmonata,Limacidae,Limax,Leopard Slug,Limax maximus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1992,10,Gastropoda,Pulmonata,Clausiliidae,Clausilia,Two-toothed Door Snail,Clausilia (Clausilia) bidentata
Natural Resources Wales,,,2000,8,Bivalvia,Veneroida,Veneridae,Chamelea,Striped Venus,Chamelea gallina
Joint Nature Conservation Committee,,,2005,8,Bivalvia,Veneroida,Mactridae,Lutraria,,Lutraria
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (rare and scarce species),,1670,,Gastropoda,Pulmonata,Succineidae,Quickella,Sandbowl Snail,Quickella arenaria
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2004,6,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Seasearch,Seasearch Marine Surveys in Wales,,2009,4,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Flat Periwinkle,Littorina obtusata
Seasearch,Seasearch Marine Surveys in Wales,,2010,6,Gastropoda,Nudibranchia,Polyceridae,Crimora,,Crimora papillata
SEWBReC,SEWBReC Molluscs (South Wales),,2016,9,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Indet. Pea Mussel,Pisidium
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Carychiidae,Carychium,Long-toothed Herald Snail,Carychium tridentatum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2016,6,Gastropoda,,Acteonidae,Acteon,,Acteon tornatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2003,3,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
SEWBReC,INNS Data: All Taxa (South East Wales),,1977,5,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1968,3,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Garlic Snail,Oxychilus (Oxychilus) alliarius
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2003,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,Welsh Invertebrate Database (WID),,1985,5,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,7,2013,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2004,5,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Joint Nature Conservation Committee,,O,1996,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
SEWBReC,SEWBReC Molluscs (South Wales),,2015,11,Gastropoda,Pulmonata,Arionidae,Arion,Brown Soil Slug,Arion (Kobeltia) distinctus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1974,11,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,,Oxychilus (Oxychilus) navarricus
Seasearch,Seasearch Marine Surveys in Wales,,1983,8,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,,Lacuna crassior
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1989,1,Bivalvia,Veneroida,Tellinidae,Asbjornsenia,,Asbjornsenia pygmaea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,7,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Garlic Snail,Oxychilus (Oxychilus) alliarius
Seasearch,Seasearch Marine Surveys in Wales,,2005,5,Gastropoda,Nudibranchia,Polyceridae,Limacia,Orange-Clubbed Sea Slug,Limacia clavigera
