Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
Capel Eithin,CAR-453,2400BC - 1980BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-454,1510BC - 1200BC,Wales,Isle of Anglesey,Charcoal (hazel),Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.","Date is later than expected (White and Smith 1999, 49).",N
Capel Eithin,CAR-455,820BC - 400BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-456,1510BC - 1120BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-482,1900BC - 1520BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-483,AD0 - AD330,Wales,Isle of Anglesey,Wood (plank),Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-484,AD680 - AD1150,Wales,Isle of Anglesey,Wood (plank),Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, group 69",CAR-485,5000BC - 4540BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, group 69",CAR-619,5480BC - 5060BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, group 78",CAR-480,4520BC - 4230BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.","Date is too early, suggesting the sample is residual (White and Smith 1999, 34).",N
