Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
"Llangorse Lake, core A",SRR-132,810BC - 400BC,Wales,Powys,Sediment (lacustrine gyttja),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2376,840BC - 400BC,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2377,410BC - 50BC,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2378,190BC - AD230,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2379,1510BC - 1110BC,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2380,1690BC - 1390BC,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2381,3350BC - 2870BC,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2382,2910BC - 2470BC,Wales,Powys,Sediment (organic),[Not recorded],Palynological study of lake sediments (Harkness et al 1997).,,N
"Llangorse Lake, core A",SRR-2383,7460BC - 6830BC,Wales,Powys,Sediment (organic),[Not recorded],"Palynological study of lake sediments (Jones et al 1985, 227).",,N
"Llangorse Lake, core A",SRR-2384,8180BC - 7580BC,Wales,Powys,Sediment (organic),[Not recorded],"Palynological study of lake sediments (Jones et al 1985, 227).",,N
Llanwrin to Dolgellau Gas Pipeline,SUERC-38162,AD680 - AD890,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],[not recorded],,N
Llanymynech,Beta-239523,1880BC - 1620BC,Wales,Powys,Cremated bone,[Not recorded],Excavation of a ring ditch and associated cremation burials.,,N
Llanymynech,SUERC-18873,1880BC - 1680BC,Wales,Powys,Cremated bone,[Not recorded],Excavation of a ring ditch and associated cremation burials.,,N
Llwyn Bryn-dinas,CAR-708,400BC - 0BC,Wales,Powys,Charcoal,Radiometric,Hillfort with evidence of copper-alloy casting and iron forging.,,N
Llwyn Bryn-dinas,CAR-798,360BC - AD30,Wales,Powys,Charcoal,Radiometric,Hillfort with evidence of copper-alloy casting and iron forging.,,N
Llwyn Bryn-dinas,CAR-800,410BC - 50BC,Wales,Powys,Charcoal,Radiometric,Hillfort with evidence of copper-alloy casting and iron forging.,,N
Llwyn Bryn-dinas,CAR-802,1000BC - 790BC,Wales,Powys,Charcoal,Radiometric,Hillfort with evidence of copper-alloy casting and iron forging.,,N
Llwyn Bryn-dinas,CAR-803,1060BC - 790BC,Wales,Powys,Charcoal (small timbers),Radiometric,Hillfort with evidence of copper-alloy casting and iron forging.,,N
Lower Luggy,BM-2954,3700BC - 3520BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Earthen long barrow.,,N
Lower Luggy,BM-2955,3640BC - 3360BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Earthen long barrow.,,N
Lower Luggy enclosure,Beta-177037,3650BC - 3370BC,Wales,Powys,"Charcoal (hazel, twig)",[Not recorded],Neolithic enclosure.,,N
Lower Luggy enclosure,Beta-206282,3630BC - 3360BC,Wales,Powys,"Charcoal (hazel, twig)",[Not recorded],Neolithic enclosure.,,N
Lower Luggy enclosure,Beta-206283,3940BC - 3650BC,Wales,Powys,"Charcoal (hazel, twig)",[Not recorded],Neolithic enclosure.,,N
Lower Luggy enclosure,Beta-206284,6030BC - 5840BC,Wales,Powys,"Charcoal (hazel, twig)",[Not recorded],Neolithic enclosure.,,N
Lower Luggy enclosure,GrA-29332,3010BC - 2870BC,Wales,Powys,Cremated bone (human),[Not recorded],Neolithic enclosure.,,N
Lower Tanllwyth,SRR-1114,AD50 - AD340,Wales,Powys,Wood (birch),[Not recorded],Palaeoenvironmental study of wood in peat deposits.,,N
Lower Tanllwyth,SRR-1115,3650BC - 3370BC,Wales,Powys,Wood (birch),[Not recorded],Palaeoenvironmental study of wood in peat deposits.,,N
Maes y Fin,SRR-2226,10130BC - 9270BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of lake deposits formed inside a morraine.,,N
Maescar (site 45.16),SUERC-57283,2580BC - 2400BC,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],Excavation of two small pits.,,N
Mathrafal,CAR-1233,AD1290 - AD1450,Wales,Powys,Charcoal,Radiometric,Rectangular enclosure and motte and bailey castle.,,N
Mathrafal,CAR-863,AD1220 - AD1400,Wales,Powys,Charcoal (brushwood),Radiometric,Rectangular enclosure and motte and bailey castle.,,N
Melin-dulas,SRR-140,1740BC - 1500BC,Wales,Powys,Wood (oak),[Not recorded],Palaeoenvironmental study of a peat bog.,,N
Meusydd,SUERC-42556,2030BC - 1870BC,Wales,Powys,Charcoal (hazel),AMS,"Early medieval cemetery, in which two graves were excavated.",,N
Meusydd,SUERC-43222,400BC - 200BC,Wales,Powys,Charcoal (hazel),AMS,"Early medieval cemetery, in which two graves were excavated.",,N
Meusydd ring ditch,Beta-249073,2480BC - 2210BC,Wales,Powys,"Charcoal (oak, timber)",[Not recorded],"19m diameter ring ditch, with an outer kerb of posts set in a palisade trench.",,N
Meusydd ring ditch,Beta-249074,2400BC - 2130BC,Wales,Powys,Charcoal (oak),[Not recorded],"19m diameter ring ditch, with an outer kerb of posts set in a palisade trench.",,N
"Meusydd, timber circle 1",Beta-249071,3330BC - 2910BC,Wales,Powys,Charcoal (oak),[Not recorded],7.4m diameter timber circle of six pits.,,N
"Meusydd, timber circle 1",Beta-249072,2930BC - 2870BC,Wales,Powys,Cremated bone (human),[Not recorded],7.4m diameter timber circle of six pits.,,N
Mount Pleasant enclosure,SWAN-11,410BC - 190BC,Wales,Powys,"Charcoal (wood, mixed)",Radiometric,"Double and partly-ditched enclosure (Britnell and Thomas 2010, 5).",,N
Mount Pleasant enclosure,SWAN-12,710BC - 210BC,Wales,Powys,"Charcoal (wood, mixed)",Radiometric,"Double and partly-ditched enclosure (Britnell and Thomas 2010, 5).",,N
"Nant Helen, site NHP",CAR-1144,1880BC - 1410BC,Wales,Powys,[Not recorded],Radiometric,Palaeoenvironmental study of peat from eastern basin on Mynydd y Drum.,,N
"Nant Helen, site NHP",CAR-1145,3270BC - 2690BC,Wales,Powys,[Not recorded],Radiometric,Palaeoenvironmental study of peat from eastern basin on Mynydd y Drum.,,N
"Nant Helen, site NHP",CAR-1146,4050BC - 3650BC,Wales,Powys,[Not recorded],Radiometric,"Peat core taken from eastern basin as part of a programme of field survey, excavation and environmental study on Mynydd y Drum (Chambers et al 1990, 215).",,N
"Nant Helen, site NHP",CAR-1147,4460BC - 4070BC,Wales,Powys,[Not recorded],Radiometric,Palaeoenvironmental study of peat from eastern basin on Mynydd y Drum.,,N
"Nant Helen, site NHP",CAR-1148,5530BC - 5210BC,Wales,Powys,[Not recorded],Radiometric,"Peat core taken from eastern basin as part of a programme of field survey, excavation and environmental study on Mynydd y Drum (Chambers et al 1990, 215).",,N
"Nant Helen, site NHP",CAR-1149,7180BC - 6680BC,Wales,Powys,[Not recorded],Radiometric,Palaeoenvironmental study of peat from eastern basin on Mynydd y Drum.,,N
"Nant Helen, site NHP",CAR-1150,AD30 - AD390,Wales,Powys,[Not recorded],Radiometric,Palaeoenvironmental study of peat from eastern basin on Mynydd y Drum.,,N
"Nant Helen, site NHP",CAR-1151,840BC - 500BC,Wales,Powys,[Not recorded],Radiometric,Palaeoenvironmental study of peat from eastern basin on Mynydd y Drum.,,N
"Nant Helen, site NHW",CAR-1152,2010BC - 1620BC,Wales,Powys,Peat,Radiometric,Palaeoenvironmental study of peat from western basin on Mynydd y Drum.,,N
"Nant Helen, site NHW",CAR-1153,3330BC - 2870BC,Wales,Powys,Peat,Radiometric,Palaeoenvironmental study of peat from western basin on Mynydd y Drum.,,N
"Nant Helen, site NHW",CAR-1154,3950BC - 3530BC,Wales,Powys,Peat,Radiometric,"Peat core taken from western basin as part of a programme of field survey, excavation and environmental study on Mynydd y Drum (Chambers et al 1990, 215).",,N
"Nant Helen, site NHW",CAR-1155,5330BC - 5030BC,Wales,Powys,Peat,Radiometric,Palaeoenvironmental study of peat from western basin on Mynydd y Drum.,,N
Nant Iago,SRR-1131,830BC - 760BC,Wales,Powys,Wood (birch),[Not recorded],Palaeoenvironmental study of valley bottom formation processes.,,N
Nantyreira,BM-2581,1900BC - 1490BC,Wales,Powys,"Wood (birch and oak, mature branchwood)",Radiometric,"Early mine reworked in 19th century AD (Ambers et al 1991, 59).",,N
Nantyreira,BM-2583,1880BC - 1610BC,Wales,Powys,"Wood (birch and oak, mature branchwood)",Radiometric,"Early mine reworked in 19th century AD (Ambers et al 1991, 59).",,N
Newton,GU-667,AD990 - AD1280,Wales,Powys,Wood (oak),[Not recorded],Palaeoenvironmental study of gravel bed of River Severn.,,N
Offa's Dyke,Beta-96093,AD1300 - AD1460,Wales,Powys,Wood,[Not recorded],Early medieval boundary between Welsh and Saxon Britain.,,N
Ogof Wyddon,BM-3146,1890BC - 1620BC,Wales,Powys,"Charcoal (oak, 25 - 30 years old)",Radiometric,Opencut mine-working.,,N
Pantybedw,SRR-137,2130BC - 1880BC,Wales,Powys,Peat,[Not recorded],Drainage ditch.,,N
Pantybedw,SRR-138,1740BC - 1520BC,Wales,Powys,Wood,[Not recorded],Drainage ditch.,,N
Pantybedw,SRR-139,AD70 - AD330,Wales,Powys,"Wood (oak, 40 years growth)",[Not recorded],Drainage ditch.,,N
Pen Dylife Mine,Beta-167743,AD970 - AD1170,Wales,Powys,Peat,[Not recorded],Early mining site.,,N
Pennant Melangell Church,CAR-1249,1600BC - 1220BC,Wales,Powys,Charcoal,Radiometric,Church and graveyard above prehistoric activity.,,N
Pennant Melangell Church,CAR-1250,1430BC - 1010BC,Wales,Powys,Charcoal,Radiometric,Church and graveyard above prehistoric activity.,,N
Pennant Melangell Church,CAR-1309,1610BC - 1290BC,Wales,Powys,Charcoal,Radiometric,Church and graveyard above prehistoric activity.,,N
Pennant Melangell Church,CAR-1310,AD1020 - AD1280,Wales,Powys,Charcoal,Radiometric,Church and graveyard above prehistoric activity.,,N
"Pen-y-Crug (site 51.07), northern pit group",Beta-253575,3620BC - 3340BC,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],"Seven pits, two dated to the earlier Neolithic. Authors interpret this as the remains of a settlement.",,N
"Pen-y-Crug (site 51.07), northern pit group",SUERC-54691 (GU-34689),3700BC - 3530BC,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],"Seven pits, two dated to the earlier Neolithic. Authors interpret this as the remains of a settlement.",,N
"Pen-y-Crug (site 51.07), northern pit group",SUERC-54692 (GU-34690),3710BC - 3630BC,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],"Seven pits, two dated to the earlier Neolithic. Authors interpret this as the remains of a settlement.",,N
"Pen-y-Crug (site 51.07), roundhouses",Beta-253573,740BC - 370BC,Wales,Powys,Charcoal (roundwood),[Not recorded],"Group of three roundhouses. One dated from a structural element, another dated from an internal pit assumed to be contemporary.",,N
"Pen-y-Crug (site 51.07), roundhouses",Beta-253574,3640BC - 3370BC,Wales,Powys,Charcoal,[Not recorded],"Group of three roundhouses. One dated from a structural element, another dated from an internal pit assumed to be contemporary.",,N
"Pen-y-Crug (site 51.07), roundhouses",Beta-253576,540BC - 230BC,Wales,Powys,[Not recorded],[Not recorded],"Group of three roundhouses. One dated from a structural element, another dated from an internal pit assumed to be contemporary.",,N
Pen-y-Fan,CAR-1365,2470BC - 2040BC,Wales,Powys,"Wood (oak, roundwood, outer rings)",Radiometric,Early Bronze Age cairn.,,N
Pen-y-Fan,CAR-1367,2200BC - 1690BC,Wales,Powys,Plant material,Radiometric,Early Bronze Age cairn.,,N
Pen-y-Fan,CAR-1386,3330BC - 2870BC,Wales,Powys,"Wood (hazel, stake, outer rings)",Radiometric,From old ground surface below cairn.,,N
"Pen-y-Fan, core 1",CAR-1366,5480BC - 5060BC,Wales,Powys,Peat,Radiometric,Peat monolith from below stone against side of cist in cairn.,,N
"Pen-y-Fan, core 1",CAR-1537,3710BC - 3380BC,Wales,Powys,Peat,Radiometric,Peat monolith from below stone against side of cist in cairn.,,N
"Pen-y-Fan, core 1",CAR-1538,5620BC - 5360BC,Wales,Powys,Peat,Radiometric,Peat monolith from below stone against side of cist in cairn.,,N
"Pen-y-Fan, core 1",SWA-1,2920BC - 2480BC,Wales,Powys,Peat,[Not recorded],Peat monolith from below stone against side of cist in cairn.,,N
"Pen-y-Fan, core 3",SWA-2,2470BC - 1950BC,Wales,Powys,Peat,[Not recorded],Peat monolith from below cist in cairn.,,N
"Pen-y-Fan, core 3",SWA-3,5740BC - 5470BC,Wales,Powys,Peat,[Not recorded],Peat monolith from below cist in cairn.,,N
"Penywyrlod, Talgarth",HAR-674,3960BC - 3630BC,Wales,Powys,Bone (human),Radiometric,Cotswold-Severn tomb.,,N
"Penywyrlod, Talgarth",SUERC-63414 (GU-38967),3770BC - 3630BC,Wales,Powys,"Bone (human, adult, tooth, LM2)",AMS,Cotswold-Severn tomb.,,N
Pipton,OxA-12083,3500BC - 3330BC,Wales,Powys,"Bone (human, adult, right mandible)",AMS,Cotswold-Severn tomb.,,N
Pipton,OxA-14251,3710BC - 3630BC,Wales,Powys,"Bone (human, right femur)",AMS,Cotswold-Severn tomb.,,N
Pipton,OxA-14252,3770BC - 3630BC,Wales,Powys,"Bone (human, right femur)",AMS,Cotswold-Severn tomb.,,N
Pipton,OxA-14253,3620BC - 3360BC,Wales,Powys,"Bone (ox, horn, core)",AMS,Cotswold-Severn tomb.,,N
Pipton,OxA-14254,3640BC - 3370BC,Wales,Powys,"Bone (human, skull fragment)",AMS,Cotswold-Severn tomb.,,N
Pipton,OxA-14396,3620BC - 3350BC,Wales,Powys,"Bone (human, adult, left ulna)",AMS,Cotswold-Severn tomb.,,N
"Plot 111a, near Pipton Farm and Aberllynfi",Beta-315441,AD1020 - AD1190,Wales,Powys,charcoal,[Not recorded],[not recorded],,Y
"Plot 111a, near Pipton Farm and Aberllynfi",Beta-315442,AD1020 - AD1170,Wales,Powys,charcoal,[Not recorded],[not recorded],,Y
"Plot 49, near Llangoed and Landfalle Common",Beta-315439,2030BC - 1820BC,Wales,Powys,charcoal,[Not recorded],Cremation cemetery,,Y
"Plot 49, near Llangoed and Landfalle Common",Beta-315440,2200BC - 1970BC,Wales,Powys,charcoal,[Not recorded],Cremation cemetery,,y
"Plot 60, near Llangoed and Landfalle Common",Beta-318514,1900BC - 1690BC,Wales,Powys,Cremated bone (human),AMS,Spread of burnt bone.,,Y
"Plot 60, near Llangoed and Landfalle Common",Beta-318515,1950BC - 1760BC,Wales,Powys,Cremated bone (human),AMS,Spread of burnt bone.,,Y
Pont Gelli-goch causeway,CAR-943,,Wales,Powys,Plant material (bracken),Radiometric,"Eighteenth century turnpike road (Barfoot 1986),",,N
Pont-ar-Daf,UB-3216,2020BC - 1680BC,Wales,Powys,"Charcoal (oak, hazel, poplar, rowan)",[Not recorded],"c. 3m diameter bedding trench of post-circle, later covered by a stone and peat capping.",,N
Rhiwdefeitty Fawr,SRR-1132,2850BC - 2460BC,Wales,Powys,"Wood (?birch, root)",[Not recorded],Palaeoenvironmental study of valley formation processes.,,N
Rhos Goch National Nature Reserve,Beta-200053,5710BC - 5550BC,Wales,Powys,Plant material (sphagnum),[Not recorded],Palaeoenvironmental study of a peat bog.,,N
Rhos Goch National Nature Reserve,Beta-200054,8210BC - 7740BC,Wales,Powys,Wood (willow),[Not recorded],Palaeoenvironmental study of a peat bog.,,N
Rhos Goch National Nature Reserve,Beta-200055,8440BC - 7980BC,Wales,Powys,Shell,[Not recorded],Palaeoenvironmental study of a peat bog.,,N
Rhos Goch National Nature Reserve,Beta-200056,AD890 - AD1150,Wales,Powys,Plant material (sphagnum),[Not recorded],Palaeoenvironmental study of a peat bog.,,N
Rhos Goch National Nature Reserve,Beta-200057,1640BC - 1440BC,Wales,Powys,Plant material (sphagnum),[Not recorded],Palaeoenvironmental study of a peat bog.,,N
Rhos Goch National Nature Reserve,Beta-200058,8250BC - 7840BC,Wales,Powys,Shell,[Not recorded],Palaeoenvironmental study of a peat bog.,,N
"River Severn, Welshpool, site 2",Beta-41485,1210BC - 840BC,Wales,Powys,Wood,Radiometric,Sedimentological study of alluvial exposures on floodplain.,,N
"River Severn, Welshpool, site 3",Beta-49605,AD660 - AD1000,Wales,Powys,Wood,Radiometric,Sedimentological study of alluvial exposures on floodplain.,,N
"River Tanat, Upper Severn",Beta-56056,1440BC - 780BC,Wales,Powys,Wood,Radiometric,Palaeoenvironmental study of river channel.,,N
"River Tanat, Upper Severn",Beta-56057,AD1440 - AD1800,Wales,Powys,Wood,[not recorded],Palaeochannel in area containing Roman forts.,,N
"River Vyrnwy, Upper Severn",Beta-56052,2570BC - 2140BC,Wales,Powys,Wood,Radiometric,Palaeoenvironmental study of river channel.,,N
"River Vyrnwy, Upper Severn",Beta-56053,2290BC - 1880BC,Wales,Powys,Wood,Radiometric,Palaeoenvironmental study of river channel.,,N
"River Vyrnwy, Upper Severn",Beta-56054,2460BC - 2030BC,Wales,Powys,Wood,Radiometric,Palaeoenvironmental study of river channel.,,N
Rough Close,SWAN-114,4900BC - 4540BC,Wales,Powys,"Charcoal (hazel, gorse)",Radiometric,Isolated pit below a lithic scatter.,,N
Sarn y Bryn Caled palaeochannel,Beta-41486,AD80 - AD420,Wales,Powys,[Not recorded],[Not recorded],Palaeoenvironmental study.,,N
Sarn-y-bryn-caled,SUERC-43272,7050BC - 6700BC,Wales,Powys,Charcoal (oak),[Not recorded],35m diameter ring ditch forming part of a complex of funerary and ritual monuments.,,N
Sarn-y-bryn-caled,SUERC-43273,2200BC - 1970BC,Wales,Powys,Charcoal (oak),[Not recorded],35m diameter ring ditch forming part of a complex of funerary and ritual monuments.,,N
Sarn-y-bryn-caled,UB-4432,AD570 - AD660,Wales,Powys,Charcoal,[Not recorded],"Pit circle, Romano-British pits and early medieval ovens.",,N
Sarn-y-bryn-caled,UB-4433,AD420 - AD580,Wales,Powys,Charcoal,[Not recorded],"Pit circle, Romano-British pits and early medieval ovens.",,N
Sarn-y-Bryn-Caled cursus,OxA-3997,3950BC - 3630BC,Wales,Powys,"Charcoal (oak, fast-grown)",AMS,380m long cursus monument.,,N
Sarn-y-bryn-caled penannular ring ditch,BM-2819,2910BC - 2670BC,Wales,Powys,"Charcoal (oak, sapwood)",Radiometric,Small penannular ring ditch.,,N
Sarn-y-bryn-caled penannular ring ditch,BM-2820,3330BC - 2900BC,Wales,Powys,"Charcoal (oak, sapwood)",Radiometric,Small penannular ring ditch.,,N
Sarn-y-bryn-caled penannular ring ditch,SUERC-24171,2880BC - 2580BC,Wales,Powys,"Cremated bone (human, cranial vault, 3 fragments, 3g)",[Not recorded],Small penannular ring ditch.,,N
Sarn-y-bryn-caled penannular ring ditch,SUERC-24172,2910BC - 2870BC,Wales,Powys,"Cremated bone (human, 3 long bone fragments, 2g)",[Not recorded],Small penannular ring ditch.,,N
Sarn-y-bryn-caled penannular ring ditch,SUERC-24176,3010BC - 2880BC,Wales,Powys,"Cremated bone (human, cranial parietal fragment, 2g)",[Not recorded],Small penannular ring ditch.,,N
Sarn-y-bryn-caled timber circle,BM-2805,2280BC - 2020BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,BM-2806,2200BC - 1930BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,BM-2807,2190BC - 1920BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,BM-2808,2280BC - 1980BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,BM-2809,2190BC - 1920BC,Wales,Powys,"Charcoal (oak, outer rings)",Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,BM-2810,2560BC - 2200BC,Wales,Powys,"Charcoal (oak, outer rings)",Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,BM-2830,390BC - 40BC,Wales,Powys,Charcoal (oak),Radiometric,Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,SUERC-27586,2040BC - 1880BC,Wales,Powys,Cremated bone (human),[Not recorded],Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,SUERC-27587,2040BC - 1880BC,Wales,Powys,Cremated bone (human),[Not recorded],Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,SUERC-27588,2030BC - 1770BC,Wales,Powys,Cremated bone (pig),[Not recorded],Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,SUERC-27589,1980BC - 1760BC,Wales,Powys,Cremated bone (human),[Not recorded],Timber circle with central pit.,,N
Sarn-y-bryn-caled timber circle,SUERC-27590,2140BC - 1900BC,Wales,Powys,Cremated bone (pig),[Not recorded],Timber circle with central pit.,,N
"Sarn-y-bryn-caled, pit 198",BM-2829,3640BC - 3370BC,Wales,Powys,"Charcoal (oak, sapwood)",Radiometric,"Isolated posthole, 55m southwest of the Sarn-y-bryn-Caled timber circle.",,N
Short Ditch,Beta-223798,AD400 - AD600,Wales,Powys,Charcoal,[Not recorded],Palaeoenvironmental study of a short dyke.,,N
"St Bilo’s Church, Llanfilo",UBA-22405,AD970 - AD1150,Wales,Powys,Charcoal,[Not recorded],[not recorded],,N
Tanllwyth,SRR-1117,AD1410 - AD1490,Wales,Powys,Peat,[Not recorded],Palaeoenvironmental study of deposits in River Severn.,,N
"Tesco supermarket, Welshpool",SUERC-32333,380BC - 200BC,Wales,Powys,"Charcoal (hazel, nutshell)",AMS,[not recorded],,N
"Tesco supermarket, Welshpool",SUERC-32334,360BC - 40BC,Wales,Powys,Charcoal (Maloideae),AMS,[not recorded],,N
Tommy Jones's Pillar,SWA-5,AD1220 - AD1410,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N
Tommy Jones's Pillar,SWA-6,AD330 - AD630,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N
Tommy Jones's Pillar,SWA-7,750BC - 200BC,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N
Tommy Jones's Pillar,SWA-8,1230BC - 890BC,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N
Tommy Jones's Pillar,SWA-9,1740BC - 1410BC,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N
Tommy Jones's Pillar,SWAN-10,2910BC - 2470BC,Wales,Powys,[Not recorded],Radiometric,"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N
Traeth Mawr,SRR-1560,10040BC - 9240BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of a dead-ice hollow infilled with lateglacial deposits.,,N
Traeth Mawr,SRR-1561,10780BC - 10430BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of a dead-ice hollow infilled with lateglacial deposits.,,N
Traeth Mawr,SRR-1562,11820BC - 11280BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of a dead-ice hollow infilled with lateglacial deposits.,,N
Trecastell (site 38.17),Beta-240338,2470BC - 2190BC,Wales,Powys,"Wood (Pomoideae, haft)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),Beta-253577,1740BC - 1510BC,Wales,Powys,[Not recorded],[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),Beta-253578,1870BC - 1550BC,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),GU-33681,,Wales,Powys,"Wood (Pomoideae, mineralised and consolidated)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits (Hart 2014, 3).",,N
Trecastell (site 38.17),SUERC-52580,1890BC - 1690BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52581,1880BC - 1660BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52582,1890BC - 1690BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52583,1900BC - 1690BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52584,1880BC - 1680BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52588,1880BC - 1680BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52590,2461BC - 2234BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52591,2470BC - 2280BC,Wales,Powys,"Charcoal (birch, roundwood with bark)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52592,2470BC - 2280BC,Wales,Powys,"Charcoal (birch, roundwood)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52593,2460BC - 2200BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52594,1980BC - 1770BC,Wales,Powys,"Cremated bone (human, long bone and tibia)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
Trecastell (site 38.17),SUERC-52598,1881BC - 1698BC,Wales,Powys,"Cremated bone (human, tibia fragments)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52573,1510BC - 1390BC,Wales,Powys,"Charcoal (Cytisus/Ulex, roundwood)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52574,1420BC - 1260BC,Wales,Powys,"Charcoal (birch, roundwood)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52578,1410BC - 1260BC,Wales,Powys,"Charcoal (Cytisus/Ulex, roundwood, c.6 rings)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N
