FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
412,,,fisk-scombrid/kropsfragm.,,,,,,,,,,,,,,,,,m,,×,
413,,,fisk-str.sild - neoclupavus/kropsfragm ,,,,,,,,,,,,,,,,,m,,×,
414,,,fisk-st.sild.neo./hel fisk,,,,,,,,,,,,,,,,,m,,×,
415,,,fisk-st.sild - neo./hel,,,,,,,,,,,,,,,fra Kr. Jensens saml.,,m,,×,
416,,,fisk-ubestemt/ledknogler/underkæbe,,,,,,,,,,,,,,,,,m,,×,
417,,,krybdyr??/fragm. af hvirvelsøjle,,,,,,,,,,,,,,,,,m,,×,
418,,,fisk-ubest/gællekågsknogle-operculum,,,,,,,,,,,,,,,,,m,,×,
419,,,fisk-ubest./flere skæl,,,,,,,,,,,,,,,,,m,,×,
420,,,fisk-st.sild-neo./kran. + forreste det af krop,,,,,,,,,,,,,,,,,m,,×,
421,,,fisk-str sild - neoclupavis/hel,,,,,,,,,,,,,,,,,m,,×,
422,,,fisk-st.sild-neo./hele fisk + insekter,,,,,,,,,,,,,,,,,m,,×,
423,,,fisk-st.sild-neo./hel fisk,,,,,,,,,,,,,,,,,m,,×,
424,,,fisk/hajtand ÷rod,,,,,,,,,,,,,,,D. Ward 2008,,m,,×,
425,,,fisk/hele skæl,,,,,,,,,,,,,,,,,m,,×,
426,,,fisk-ulk/kropsfragm.+ hvirvelsøjle,,,,,,,,,,,,,,,Kr. Jensens samling?,,m + 61,,×,
427,,,fisk - neoclupavus/hele+fiskerester+koproliter,,,,,,,,,,,,,,,,,m,,×,
428,,,fisk-ubestemt/finne,,,,,,,,,,,,,,,,,m,,×,
429,,,fisk-st.sild-neo./kranier+hele snegle,,,,,,,,,,,,,,,,,m,,×,
