institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed,,,,Codsefydliad,Enw set ddata,Cyfrif unigol,blwyddyn proseswyd,mis proseswyd,dosbarth proseswyd,trefn proseswyd,teulu proseswyd,genws proseswyd,enwBrodorol proseswyd,enwGwyddonol proseswyd
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1950,,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: molysgiaid anforol (set ddata Atlas 1999),,1950,,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica
CEDaR,Agri-Food and Biosciences Institute Marine Surveys,1,2014,11,Bivalvia,Lucinoida,Lucinidae,Lucinoma,,Lucinoma borealis,,,,CEDaR,Arolygon Morol y Sefydliad Bwyd-Amaeth a Biowyddorau,1,2014,11,Bivalvia,Lucinoida,Lucinidae,Lucinoma,,Lucinoma borealis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1994,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,1994,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,3,Bivalvia,Veneroida,Veneridae,Dosinia,Smooth Artemis,Dosinia lupinus,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,2004,3,Bivalvia,Veneroida,Veneridae,Dosinia,Smooth Artemis,Dosinia lupinus
SEWBReC,SEWBReC Molluscs (South Wales),,2002,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata,,,,SEWBReC,Molysgiaid SEWBReC (De Cymru),,2002,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
SEWBReC,SEWBReC Molluscs (South Wales),,2016,5,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre,,,,SEWBReC,Molysgiaid SEWBReC (De Cymru),,2016,5,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,4,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,2016,4,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,1,Gastropoda,Pulmonata,Milacidae,Tandonia,Budapest Keeled Slug,Tandonia budapestensis,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,2016,1,Gastropoda,Pulmonata,Milacidae,Tandonia,Budapest Keeled Slug,Tandonia budapestensis
Seasearch,Seasearch Marine Surveys in Wales,,2011,8,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum,,,,Seasearch,Arolygon Morol Seasearch yng Nghymru,,2011,8,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum
Joint Nature Conservation Committee,,,1992,6,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Grey Sea Slug,Aeolidia papillosa,,,,Cydbwyllgor Cadwraeth Natur,,,1992,6,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Grey Sea Slug,Aeolidia papillosa
Natural Resources Wales,,9,2004,8,Bivalvia,Mytiloida,Mytilidae,,,Mytilidae,,,,Cyfoeth Naturiol Cymru,,9,2004,8,Bivalvia,Mytiloida,Mytilidae,,,Mytilidae
Seasearch,Seasearch Marine Surveys in Wales,,2015,5,Gastropoda,Nudibranchia,Polyceridae,Limacia,Orange-Clubbed Sea Slug,Limacia clavigera,,,,Seasearch,Arolygon Morol Seasearch yng Nghymru,,2015,5,Gastropoda,Nudibranchia,Polyceridae,Limacia,Orange-Clubbed Sea Slug,Limacia clavigera
Natural Resources Wales,,10,2005,4,Bivalvia,Veneroida,Semelidae,Abra,,Abra,,,,Cyfoeth Naturiol Cymru,,10,2005,4,Bivalvia,Veneroida,Semelidae,Abra,,Abra
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,7,2008,11,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,7,2008,11,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1980,6,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,1980,6,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: molysgiaid anforol (set ddata Atlas 1999),,1965,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1990,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,1,1990,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
