Year,Month,Day,Time,Town / Village,Area,Occupation_x000D_(Where Relevant),Description,,Blwyddyn,Mis,Dydd,Amser,Tref / Pentref,Ardal,Galwediageth_x000D_(Lle'n Briodol ),Disgrifiad
1998,8,5,00:30,Brecon,Dyfed,-,"Vortex with white, red and green flashing lights. Rose straight up vertically from behind woods in the form of an arc. Smokey trail.",,1998,8,5,0.020833333,Aberhonddu,Dyfed,-,"Trobwll â goleuadau gwyn, coch a gwyrdd yn fflachio. Cododd yn syth yn fertigol o'r tu ôl i goed ar ffurf arch. Trywydd myglyd ar ei ôl."
1998,8,12,22:00,Barry,South Glamorgan,-,Four main lights formed a cross. There were bright green and orange lights in the centre. Was larger than a 747.,,1998,8,12,0.916666667,Y Barri,De Morgannwg,-,Pedwar prif olau yn ffurfio croes. Roedd goleuadau gwyrdd ac oren llachar yn y canol. Roedd yn fwy o faint na 747.
1998,8,13,04:45,Llanrhaeaedr,Clwyd,-,"One huge, silver, star shaped object.",,1998,8,13,0.197916667,Llanrhaeaedr,Clwyd,-,"Un gwrthrych enfawr, arian siâp seren."
1998,8,21,09:50,Porthcawl,Mid Glamorgan,-,"A star size, bright object. Was blue/white in colour.",,1998,8,21,0.409722222,Porthcawl,Morgannwg Ganol,-,Gwrthrych llachar maint seren. Roedd yn las/gwyn o ran lliw.
1998,8,24,00:30,Swansea,West Glamorgan,-,"A very bright, white light in the sky, moving fast.",,1998,8,24,0.020833333,Abertawe,Gorllewin Morgannwg,-,"Golau gwyn, llachar iawn yn yr awyr, yn symud yn gyflym."
1998,9,21,21:30,Waunfawr,Gwynedd,-,Spheres - colours on and off in sequences.,,1998,9,21,0.895833333,Waunfawr,Gwynedd,-,Sfferau - lliwiau ymlaen ac i ffwrdd mewn dilyniannau.
1998,11,15,03:45,Cardiff,South Glamorgan,-,"One huge 'aura' was seen, was tapered to one end, like a pen. Was multicoloured and shimmering.",,1998,11,15,0.15625,Caerdydd,De Morgannwg,-,"Gwelwyd un 'awra' anferth, yn frigfain tuag un pen, fel ysgrifbin. Roedd yn amryliw ac yn grychdonnog."
1998,11,16,06:45,Llandrinio,Powys,-,One beam of blue light that was very bright. It then turned white and then disappeared leaving a vapour trail.,,1998,11,16,0.28125,Llandrinio,Powys,-,Un belydren o oleuni glas a oedd yn llachar iawn.  Yna trodd yn wyn a diflannodd gan adael ôl anwedd.
1998,11,16,06:40,Cardiff,South Glamorgan,-,"One bright, white light in the shape of a circle, with a vapour trail.",,1998,11,16,0.277777778,Caerdydd,De Morgannwg,-,"Un goleuni gwyn, llachar ar siâp cylch, gydag ôl anwedd."
1998,11,16,05:15,Penrhyn Bay/Conwy,Gwynedd,-,"There were several blue-ish, white-ish lights.",,1998,11,16,0.21875,Bae Penrhyn/Conwy,Gwynedd,-,"Roedd sawl golau glasaidd, gwynnaidd."
1998,11,29,17:45,Abergevenny,Gwent,-,"One large, dark hexagonal object with two white lights. Was humming and flew low over the witnesses house.",,1998,11,29,0.739583333,Y Fenni,Gwent,-,"Un gwrthrych mawr, tywyll chweochrog gyda dau olau gwyn. Roedd yn grwnan a hedodd yn isel dros dŷ'r tyst."
1998,12,5,05:10,Blaenau,Gwent,-,"One very bright, white light. Very high altitude.",,1998,12,5,0.215277778,Blaenau,Gwent,-,"Un golau gwyn, llachar iawn. Uchder uchel iawn."
1999,1,7,18:30,Glanarfon,Wales,-,"One flat, triangular object, (like a shield), white in colour. Coloured lights mainly round the edge of the craft. Spotlight beneath.",,1999,1,7,0.770833333,Glanarfon,Cymru,-,"Un gwrthrych gwastad, trionglog, (fel tarian), gwyn ei liw. Goleuadau lliw yn bennaf o amgylch ymyl y llong. Sbotolau odano."
1999,1,9,02:00,The Rhondda,Mid Glamorgan,-,"One large oval, with a sphere in the middle. Had bright blue, green and white lights on top of the craft. There was a humming noise.",,1999,1,9,0.083333333,Y Rhondda,Morgannwg Ganol,-,"Un hirgrwn mawr, gyda sffêr yn y canol. Roedd ganddo oleuadau llachar glas, gwyrdd a gwyn ar ben y llong. Roedd sŵn grwnan."
1999,1,10,01:30,Llanelli,Dyfed,-,"One object, a pinprick of light changing colour between red, green and orange.",,1999,1,10,0.0625,Llanelli,Dyfed,-,"Un gwrthrych, pigiad o oleuni yn newid lliw rhwng coch, gwyrdd ac oren."
1999,1,21,20:45,Corwen,Denbighshire,-,"Flying saucer shape, with three square like windows, like a house. Was light - got lighter, then dimmed. Slightly tilted.",,1999,1,21,0.864583333,Corwen,Sir Ddinbych,-,"Siâp soser hedegog, gyda thair ffenestr sgwâr, fel tŷ. Roedd yn olau - aeth yn oleuach, yna pylu. Tipyn bach ar ongl."
1999,2,2,17:25,Swansea,West Glamorgan,-,Cross shaped collection of five star like objects. Gold coloured lights.,,1999,2,2,0.725694444,Abertawe,Gorllewin Morgannwg,-,Casgliad siâp croes o bum gwrthrych tebyg i seren. Goleuadau lliw aur.
1999,2,10,02:45,Swansea,West Glamorgan,Retired Air Traffic Controller,"A single blue and red object. Very bright. It made an S pattern in the sky, when finished, moved North East.",,1999,2,10,0.114583333,Abertawe,Gorllewin Morgannwg,Rheolwr Traffig Awyr wedi ymddeol,"Un gwrthrych glas a choch. Llachar iawn. Gwnaeth batrwm S yn yr awyr, ar ôl gorffen, symudodd i'r Gogledd-ddwyrain."
1999,2,11,18:45,Caernarvon,Gwynedd,-,"Single aircraft/object, that had rotors. It had blue, red and white strobes.",,1999,2,11,0.78125,Caernarvon,Gwynedd,-,"Un awyren/gwrthrych sengl, yr oedd ganddo rotorau. Roedd ganddo strobau glas, coch a gwyn."
1999,3,9,18:30,Ammanford,Dyfed,-,Two dark grey objects. They then looked translucent. They were manoeuvring and then disappeared into the cloud.,,1999,3,9,0.770833333,Rhydaman,Dyfed,-,Dau wrthrych llwyd tywyll. Yna roedden nhw'n edrych yn dryloyw. Roedden nhw'n cad-drefnu ac yna diflannon nhw i mewn i'r cwmwl.
1999,3,10,10:30,Bangor,Gwynedd,-,Flashing lights that were various colours. Shape unknown. Moving West.,,1999,3,10,0.4375,Bangor,Gwynedd,-,Goleuadau o wahanol liwiau a oedd yn fflachio. Siâp anhysbys. Yn symud i'r Gorllewin.
1999,3,11,05:10,Newcastle Emlyn,Carmarthenshire,-,"One, large, round white light. Very bright. Moving from West to East.",,1999,3,11,0.215277778,Castell Newydd Emlyn,Sir Gaerfyrddin,-,"Un golau gwyn mawr, crwn. Llachar iawn. Yn symud o'r Gorllewin i'r Dwyrain."
1999,3,13,21:25,Cardiff and Pontypridd,South Glamorgan,-,"Cardiff - Set of one red, blue and yellow lights in a straight line. Very bright. Pontypridd - one set of bright white lights in a triangle.",,1999,3,13,0.892361111,Caerdydd a Pontypridd,De Morgannwg,-,"Caerdydd - Set o un golau coch, un glas ac un melyn mewn llinell syth. Llachar iawn. Pontypridd - un set o oleuadau gwyn llachar mewn triongl."
1999,4,1,02:05,Llandovery,Dyfed,-,One capsule. Blue and silver at rear.,,1999,4,1,0.086805556,Llanymddyfri,Dyfed,-,Un capsiwl. Glas ac arian yn y cefn.
1999,4,29,16:00,-,Mid-Glamorgan,-,Circular shaped object. Too high to be a bird and too low to be a plane. Was travelling from East to West.,,1999,4,29,0.666666667,,Morgannwg Ganol,-,Gwrthrych siâp crwn. Rhy uchel i fod yn aderyn a rhy isel i fod yn awyren. Roedd yn teithio o'r Dwyrain i'r Gorllewin.
1999,5,26,21:35,Swansea,West Glamorgan,-,"One object, white and very bright. Very high up and very fast.",,1999,5,26,0.899305556,Abertawe,Gorllewin Morgannwg,-,"Un gwrthrych, gwyn a llachar iawn. Yn uchel iawn ac yn gyflym iawn."
1999,6,8,22:35,Monmouth,Gwent,-,"One object, the size of a hot air balloon. Was bright, with a honeycomb of light. Was stationary and then flew off.",,1999,6,8,0.940972222,Trefynwy,Gwent,-,"Un gwrthrych, maint balŵn aer poeth. Roedd yn llachar, gyda chrwybr o oleuni. Roedd yn sefyll yn ei unfan ac yna hedodd i ffwrdd."
1999,6,8,19:24,Rhymney Valley,Gwent,-,"One metallic sphere, approximately five-six metres. Was flying erratically from South to North along the Rhymney Valley.",,1999,6,8,0.808333333,Cwm Rhymni,Gwent,-,"Un sffer metalig, tua phum-chwe metr. Roedd yn hedfan yn wibiog o'r De i'r Gogledd ar hyd Cwm Rhymni."
1999,6,12,01:05,Flint,Clwyd,-,"Disc/star shape object with coloured lights, blue and green, spinning around it. Sphere of light high in the atmosphere.",,1999,6,12,0.045138889,Fflint,Clwyd,-,"Gwrthrych siâp disg/seren gyda goleuadau lliw, glas a gwyrdd, yn troelli o'i gwmpas. Sffer o oleuni'n uchel yn yr atmosffer."
1999,7,10,20:55,Porthcawl,Mid-Glamorgan,-,One cylindrical object. White and very bright. Was moving from left to right.,,1999,7,10,0.871527778,Porthcawl,Morgannwg Ganol,-,Un gwrthrych silindraidd. Gwyn a llachar iawn. Roedd yn symud o'r chwith i'r dde.
1999,7,11,00:00,Llangynog,Powys,-,"Like a medium, bright star. Made an unusual gentle ark. Then some strange squiggles from left to right. High up in the sky.",,1999,7,11,0,Llangynog,Powys,-,"Fel seren ganolig, lachar. Gwnaeth arch fwyn anghyffredin. Yna rhai llinellau igam ogam rhyfedd o'r chwith i'r dde. Yn uchel yn yr awyr."
1999,7,12,11:45,Flint,Flintshire,-,"One star shaped object. Coloured lights around it - green, blue and red. Spinning.",,1999,7,12,0.489583333,Fflint,Fflint,-,"Un gwrthrych siâp seren. Goleuadau lliw o'r amgylch - gwyrdd, glas a choch. Yn troelli."
1999,7,15,01:10,Dwyfach,Gwynedd,-,A bright light.,,1999,7,15,0.048611111,Dwyfach,Gwynedd,-,Un golau llachar.
1999,7,25,22:25,Porthcawl,Mid Glamorgan,-,"One disc shaped object, bluey silver in colour. Moved in a straight line. Definitely not a star or planet.",,1999,7,25,0.934027778,Porthcawl,Morgannwg Ganol,-,"Un gwrthrych siâp disg, arian glasaidd ei liw. Symudodd mewn llinell syth. Yn bendant ddim yn seren nac yn blaned."
1999,9,13,01:40,Penarth/Cardiff,South Glamorgan,-,"Large, bright object.",,1999,9,13,0.069444444,Penarth/Caerdydd,De Morgannwg,-,"Gwrthrych mawr, llachar."
1999,10,5,21:55,Llanbedrog,Gwynedd,-,"One object, larger than normal aircraft, tubular shape. Was bright green tinged with blue. Moved downwards leaving trail behind.",,1999,10,5,0.913194444,Llanbedrog,Gwynedd,-,
1999,10,18,19:21,Shotton,Flintshire,-,"UFO with a light, was hovering. A second UFO appeared. Had a large bright, white light. Also seemed to have red and green fleck on it.",,1999,10,18,0.80625,Shotton,Fflint,-,"Roedd UFO gyda golau, yn hofran. Ymddangosodd ail UFO. Roedd ganddo olau mawr gwyn, llachar. Hefyd roedd yn edrych petai fritho coch a gwyrdd arno."
1999,10,26,18:40,Benllech,Anglesey,-,"A white, onion shaped object, which was glowing white, with sparks. Was moving rapidly in a straight line.",,1999,10,26,0.777777778,Benllech,Ynys Môn,-,"Gwrthrych gwyn, siâp winwn, a oedd yn disgleirio'n wyn, gyda gwreichion. Roedd yn symud yn gyflym mewn llinell syth."
1999,11,18,16:00,Crickhowell,Gwent,-,A vertical orange line near the horizon. Moved to a horizontal position. One inch at arms length.,,1999,11,18,0.666666667,Crucywel,Gwent,-,Llinell oren fertigol ger y gorwel. Symudodd i safle llorweddol. Un fodfedd ar hyd braich.
1999,11,28,22:08,Pentraeth,Gwynedd,-,Giant dewdrop shaped object. Had a yellow centre and a green/blue haze around the outside. Too big to be a shooting star.,,1999,11,28,0.922222222,Pentraeth,Gwynedd,-,Gwrthrych enfawr siâp diferyn gwlith. Roedd canol melyn ganddo a niwl gwyrdd/glas o amgylch y tu allan. Rhy fawr i fod yn seren wib.
1999,12,4,22:10,Newport,Gwent,-,"A bright, Venus, pale orange object. Was moving as a bird would, in and out of formation.",,1999,12,4,0.923611111,Casnewydd,Gwent,-,"Gwrthrych llachar, Fenws, oren gwelw. Roedd yn symud fel y byddai aderyn, i mewn ac allan o gyfluniad."
1999,12,7,17:45,Newport,Gwent,-,One star shaped object. White and very bright. Very erratic movement.,,1999,12,7,0.739583333,Casnewydd,Gwent,-,Un gwrthrych siâp seren. Yn wyn ac yn llachar iawn. Symud yn wibiedig iawn.
