Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Sarn-y-bryn-caled timber circle,BM-2805,2280BC - 2020BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2805,2280BC - 2020BC,Cymru,Powys,"Golosg (derw, postyn, blwyddgylchoedd allanol)",Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,BM-2806,2200BC - 1930BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2806,2200BC - 1930BC,Cymru,Powys,"Golosg (derw, postyn, blwyddgylchoedd allanol)",Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,BM-2807,2190BC - 1920BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2807,2190BC - 1920BC,Cymru,Powys,"Golosg (derw, postyn, blwyddgylchoedd allanol)",Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,BM-2808,2280BC - 1980BC,Wales,Powys,"Charcoal (oak, post, outer rings)",Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2808,2280BC - 1980BC,Cymru,Powys,"Golosg (derw, postyn, blwyddgylchoedd allanol)",Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,BM-2809,2190BC - 1920BC,Wales,Powys,"Charcoal (oak, outer rings)",Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2809,2190BC - 1920BC,Cymru,Powys,"Golosg (derw, blwyddgylch allanol)",Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,BM-2810,2560BC - 2200BC,Wales,Powys,"Charcoal (oak, outer rings)",Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2810,2560BC - 2200BC,Cymru,Powys,"Golosg (derw, blwyddgylch allanol)",Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,BM-2830,390BC - 40BC,Wales,Powys,Charcoal (oak),Radiometric,Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,BM-2830,390BC - 40BC,Cymru,Powys,Golosg (derw),Radiometrig,Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,SUERC-27586,2040BC - 1880BC,Wales,Powys,Cremated bone (human),[Not recorded],Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,SUERC-27586,2040BC - 1880BC,Cymru,Powys,Asgwrn amlosgedig (dynol),[Heb ei gofnodi],Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,SUERC-27587,2040BC - 1880BC,Wales,Powys,Cremated bone (human),[Not recorded],Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,SUERC-27587,2040BC - 1880BC,Cymru,Powys,Asgwrn amlosgedig (dynol),[Heb ei gofnodi],Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,SUERC-27588,2030BC - 1770BC,Wales,Powys,Cremated bone (pig),[Not recorded],Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,SUERC-27588,2030BC - 1770BC,Cymru,Powys,Asgwrn amlosgedig (mochyn),[Heb ei gofnodi],Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,SUERC-27589,1980BC - 1760BC,Wales,Powys,Cremated bone (human),[Not recorded],Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,SUERC-27589,1980BC - 1760BC,Cymru,Powys,Asgwrn amlosgedig (dynol),[Heb ei gofnodi],Cylch pren gyda phwll canolog.,,N
Sarn-y-bryn-caled timber circle,SUERC-27590,2140BC - 1900BC,Wales,Powys,Cremated bone (pig),[Not recorded],Timber circle with central pit.,,N,,Cylch pren Sarn-y-bryn-caled,SUERC-27590,2140BC - 1900BC,Cymru,Powys,Asgwrn amlosgedig (mochyn),[Heb ei gofnodi],Cylch pren gyda phwll canolog.,,N
"Sarn-y-bryn-caled, pit 198",BM-2829,3640BC - 3370BC,Wales,Powys,"Charcoal (oak, sapwood)",Radiometric,"Isolated posthole, 55m southwest of the Sarn-y-bryn-Caled timber circle.",,N,,"Sarn-y-bryn-caled, pwll 198",BM-2829,3640BC - 3370BC,Cymru,Powys,"Golosg (derw, gwynnin)",Radiometrig,"Twll postyn ynysig, 55m i'r de-orllewin o gylch pren Sarn-y-bryn-Caled.",,N
Short Ditch,Beta-223798,AD400 - AD600,Wales,Powys,Charcoal,[Not recorded],Palaeoenvironmental study of a short dyke.,,N,,Ffos Fer,Beta-223798,AD400 - AD600,Cymru,Powys,Golosg,[Heb ei gofnodi],Astudiaeth baleoamgylcheddol o glawdd byr.,,N
"St Bilo‚Äôs Church, Llanfilo",UBA-22405,AD970 - AD1150,Wales,Powys,Charcoal,[Not recorded],[not recorded],,N,,"St Bilo‚Äôs Church, Llanfilo",UBA-22405,AD970 - AD1150,Cymru,Powys,Golosg,[Heb ei gofnodi],[heb ei gofnodi],,N
Tanllwyth,SRR-1117,AD1410 - AD1490,Wales,Powys,Peat,[Not recorded],Palaeoenvironmental study of deposits in River Severn.,,N,,Tanllwyth,SRR-1117,AD1410 - AD1490,Cymru,Powys,Mawn,[Heb ei gofnodi],Astudiaeth baleoamgylcheddol o ddyddodion yn Afon Hafren.,,N
"Tesco supermarket, Welshpool",SUERC-32333,380BC - 200BC,Wales,Powys,"Charcoal (hazel, nutshell)",AMS,[not recorded],,N,,"Archfarchnad Tesco, Y Trallwng",SUERC-32333,380BC - 200BC,Cymru,Powys,"Golosg (coll, masgl)",AMS,[heb ei gofnodi],,N
"Tesco supermarket, Welshpool",SUERC-32334,360BC - 40BC,Wales,Powys,Charcoal (Maloideae),AMS,[not recorded],,N,,"Archfarchnad Tesco, Y Trallwng",SUERC-32334,360BC - 40BC,Cymru,Powys,Golosg (Maloideae),AMS,[heb ei gofnodi],,N
Tommy Jones's Pillar,SWA-5,AD1220 - AD1410,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N,,Piler Tommy Jones,SWA-5,AD1220 - AD1410,Cymru,Powys,[Heb ei gofnodi],[Heb ei gofnodi],"Astudiaeth baleoamgylcheddol o fawn, tuag 1km i'r gorllewin-ogledd-orllewin o Gorn-du.",,N
Tommy Jones's Pillar,SWA-6,AD330 - AD630,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N,,Piler Tommy Jones,SWA-6,AD330 - AD630,Cymru,Powys,[Heb ei gofnodi],[Heb ei gofnodi],"Astudiaeth baleoamgylcheddol o fawn, tuag 1km i'r gorllewin-ogledd-orllewin o Gorn-du.",,N
Tommy Jones's Pillar,SWA-7,750BC - 200BC,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N,,Piler Tommy Jones,SWA-7,750BC - 200BC,Cymru,Powys,[Heb ei gofnodi],[Heb ei gofnodi],"Astudiaeth baleoamgylcheddol o fawn, tuag 1km i'r gorllewin-ogledd-orllewin o Gorn-du.",,N
Tommy Jones's Pillar,SWA-8,1230BC - 890BC,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N,,Piler Tommy Jones,SWA-8,1230BC - 890BC,Cymru,Powys,[Heb ei gofnodi],[Heb ei gofnodi],"Astudiaeth baleoamgylcheddol o fawn, tuag 1km i'r gorllewin-ogledd-orllewin o Gorn-du.",,N
Tommy Jones's Pillar,SWA-9,1740BC - 1410BC,Wales,Powys,[Not recorded],[Not recorded],"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N,,Piler Tommy Jones,SWA-9,1740BC - 1410BC,Cymru,Powys,[Heb ei gofnodi],[Heb ei gofnodi],"Astudiaeth baleoamgylcheddol o fawn, tuag 1km i'r gorllewin-ogledd-orllewin o Gorn-du.",,N
Tommy Jones's Pillar,SWAN-10,2910BC - 2470BC,Wales,Powys,[Not recorded],Radiometric,"Palaeoenvironmental study of peat, c. 1km west-northwest of Corn-du.",,N,,Piler Tommy Jones,SWAN-10,2910BC - 2470BC,Cymru,Powys,[Heb ei gofnodi],Radiometrig,"Astudiaeth baleoamgylcheddol o fawn, tuag 1km i'r gorllewin-ogledd-orllewin o Gorn-du.",,N
Traeth Mawr,SRR-1560,10040BC - 9240BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of a dead-ice hollow infilled with lateglacial deposits.,,N,,Traeth Mawr,SRR-1560,10040BC - 9240BC,Cymru,Powys,Gwaddod (gyttja),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol bant rhew llonydd wedi ei fewnlenwi gan ddyddodion rhewlifol diweddarach.,,N
Traeth Mawr,SRR-1561,10780BC - 10430BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of a dead-ice hollow infilled with lateglacial deposits.,,N,,Traeth Mawr,SRR-1561,10780BC - 10430BC,Cymru,Powys,Gwaddod (gyttja),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol bant rhew llonydd wedi ei fewnlenwi gan ddyddodion rhewlifol diweddarach.,,N
Traeth Mawr,SRR-1562,11820BC - 11280BC,Wales,Powys,Sediment (gyttja),[Not recorded],Palaeoenvironmental study of a dead-ice hollow infilled with lateglacial deposits.,,N,,Traeth Mawr,SRR-1562,11820BC - 11280BC,Cymru,Powys,Gwaddod (gyttja),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol bant rhew llonydd wedi ei fewnlenwi gan ddyddodion rhewlifol diweddarach.,,N
Trecastell (site 38.17),Beta-240338,2470BC - 2190BC,Wales,Powys,"Wood (Pomoideae, haft)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),Beta-240338,2470BC - 2190BC,Cymru,Powys,"Pren (Pomoideae, carn)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),Beta-253577,1740BC - 1510BC,Wales,Powys,[Not recorded],[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),Beta-253577,1740BC - 1510BC,Cymru,Powys,[Heb ei gofnodi],[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),Beta-253578,1870BC - 1550BC,Wales,Powys,"Charcoal (hazel, nutshell)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),Beta-253578,1870BC - 1550BC,Cymru,Powys,"Golosg (coll, masgl)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),GU-33681,,Wales,Powys,"Wood (Pomoideae, mineralised and consolidated)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits (Hart 2014, 3).",,N,,Trecastell (safle 38.17),GU-33681,,Cymru,Powys,"Pren (Pomoideae, wedi ei fwyneiddio a'i gydategu)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol (Hart 2014, 3).",,N
Trecastell (site 38.17),SUERC-52580,1890BC - 1690BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52580,1890BC - 1690BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52581,1880BC - 1660BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52581,1880BC - 1660BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52582,1890BC - 1690BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52582,1890BC - 1690BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52583,1900BC - 1690BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52583,1900BC - 1690BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52584,1880BC - 1680BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52584,1880BC - 1680BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52588,1880BC - 1680BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52588,1880BC - 1680BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52590,2461BC - 2234BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52590,2461BC - 2234BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52591,2470BC - 2280BC,Wales,Powys,"Charcoal (birch, roundwood with bark)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52591,2470BC - 2280BC,Cymru,Powys,"Golosg (bedw, pren crwn gyda rhisgl)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52592,2470BC - 2280BC,Wales,Powys,"Charcoal (birch, roundwood)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52592,2470BC - 2280BC,Cymru,Powys,"Golosg (bedw, pren crwn)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52593,2460BC - 2200BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52593,2460BC - 2200BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52594,1980BC - 1770BC,Wales,Powys,"Cremated bone (human, long bone and tibia)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52594,1980BC - 1770BC,Cymru,Powys,"Asgwrn amlosgedig (dynol, asgwrn hir a thibia)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
Trecastell (site 38.17),SUERC-52598,1881BC - 1698BC,Wales,Powys,"Cremated bone (human, tibia fragments)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,Trecastell (safle 38.17),SUERC-52598,1881BC - 1698BC,Cymru,Powys,"Asgwrn amlosgedig (dynol, darnau tibia)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52573,1510BC - 1390BC,Wales,Powys,"Charcoal (Cytisus/Ulex, roundwood)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,"Trecastell (safle 38.17), grŵp pyllau dwyreiniol",SUERC-52573,1510BC - 1390BC,Cymru,Powys,"Golosg (Cytisus/Ulex, pren crwn)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52574,1420BC - 1260BC,Wales,Powys,"Charcoal (birch, roundwood)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,"Trecastell (safle 38.17), grŵp pyllau dwyreiniol",SUERC-52574,1420BC - 1260BC,Cymru,Powys,"Golosg (bedw, pren crwn)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52578,1410BC - 1260BC,Wales,Powys,"Charcoal (Cytisus/Ulex, roundwood, c.6 rings)",[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,"Trecastell (safle 38.17), grŵp pyllau dwyreiniol",SUERC-52578,1410BC - 1260BC,Cymru,Powys,"Golosg (Cytisus/Ulex, pren crwn, tua 6 blwyddgylch)",[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
"Trecastell (site 38.17), eastern pit group",SUERC-52579,1390BC - 1120BC,Wales,Powys,Charcoal (birch),[Not recorded],"Ring ditch, the ditch of which contained a copper halberd. Also Middle Bronze Age pits.",,N,,"Trecastell (safle 38.17), grŵp pyllau dwyreiniol",SUERC-52579,1390BC - 1120BC,Cymru,Powys,Golosg (bedw),[Heb ei gofnodi],"Ffos gron, a oedd yn cynnwys halbard copr. Hefyd pyllau Oes Efydd Canol.",,N
"Trelystan, barrow 1",CAR-277,1950BC - 1610BC,Wales,Powys,Charcoal (wood and hazelnut shells),Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 1",CAR-277,1950BC - 1610BC,Cymru,Powys,Golosg (pren a masgl cnau coll),Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 1",CAR-278,2010BC - 1660BC,Wales,Powys,Charcoal (hazel),Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 1",CAR-278,2010BC - 1660BC,Cymru,Powys,Golosg (coll),Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 1",CAR-279,2460BC - 1950BC,Wales,Powys,"Charcoal (hazel, hawthorn)",Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 1",CAR-279,2460BC - 1950BC,Cymru,Powys,"Golosg (coll, draenen)",Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 1",CAR-280,2210BC - 1820BC,Wales,Powys,Charcoal (stake),Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 1",CAR-280,2210BC - 1820BC,Cymru,Powys,Golosg (stanc),Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 1",CAR-281,2300BC - 1890BC,Wales,Powys,"Charcoal (oak, log)",Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 1",CAR-281,2300BC - 1890BC,Cymru,Powys,"Golosg (derw, boncyff)",Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 1",CAR-285,2120BC - 1680BC,Wales,Powys,Charcoal (hazel),Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 1",CAR-285,2120BC - 1680BC,Cymru,Powys,Golosg (coll),Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 2",CAR-283,2040BC - 1690BC,Wales,Powys,Charcoal (oak),Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 2",CAR-283,2040BC - 1690BC,Cymru,Powys,Golosg (derw),Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, barrow 2",CAR-390,2130BC - 1690BC,Wales,Powys,Charcoal,Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, crug 2",CAR-390,2130BC - 1690BC,Cymru,Powys,Golosg,Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, pit grave",CAR-282,3330BC - 2870BC,Wales,Powys,Charcoal (oak),Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, bedd pwll",CAR-282,3330BC - 2870BC,Cymru,Powys,Golosg (derw),Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, structure A",CAR-275,2880BC - 2450BC,Wales,Powys,Charcoal,Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, adeiledd A",CAR-275,2880BC - 2450BC,Cymru,Powys,Golosg,Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, structure A",CAR-276,2830BC - 2230BC,Wales,Powys,"Wood (hazel, twig)",Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, adeiledd A",CAR-276,2830BC - 2230BC,Cymru,Powys,"Pren (coll, brigyn)",Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, structure B",CAR-272,3030BC - 2630BC,Wales,Powys,"Charcoal (hazel, rowan, hazel nutshells)",Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, adeiledd B",CAR-272,3030BC - 2630BC,Cymru,Powys,"Golosg (coll, cerddinen, masgl cnau coll)",Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, structure B",CAR-273,2900BC - 2480BC,Wales,Powys,"Charcoal (hazel, hawthorn, rowan)",Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, adeiledd B",CAR-273,2900BC - 2480BC,Cymru,Powys,"Golosg (coll, draenen, cerddinen)",Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
"Trelystan, structure B",CAR-274,2840BC - 2290BC,Wales,Powys,"Charcoal (hazel, nutshells)",Radiometric,"Two adjacent barrows covering earlier settlement, burial activity and land divisions.",,N,,"Trelystan, adeiledd B",CAR-274,2840BC - 2290BC,Cymru,Powys,"Golosg (coll, masgl)",Radiometrig,"Dau grug cyfagos yn gorchuddio anheddiad cynharach, gweithgarwch claddu a rhaniadau tir.",,N
Tyddyn Llwydion,SUERC-24512 (GU-18943),,Wales,Powys,"Wood (ash, roundwood, 8 growth rings and bark, stake)",[Not recorded],"Hallhouse - longhouse (Britnell et al 2008, 196).",,N,,Tyddyn Llwydion,SUERC-24512 (GU-18943),,Cymru,Powys,"Pren (onn, pren crwn, 8 blwyddgylch a rhisgl, stanc)",[Heb ei gofnodi],"Tŷ neuadd - tŷ hir (Britnell et al 2008, 196).",,N
T≈∑-draw,SUERC-24511 (GU-18942),AD1510 - AD1670,Wales,Powys,"Wood (ash, ?roundwood, <10 growth rings, stake)",[Not recorded],Late medieval cruck-framed longhouse/,,N,,T≈∑-draw,SUERC-24511 (GU-18942),AD1510 - AD1670,Cymru,Powys,"Pren (onn, ?pren crwn, <10 blwyddgylch, stanc)",[Heb ei gofnodi],Tŷ hir ffrâm nenfforch canoloesol hwyr/,,N
Ty-Isaf,OxA-12055,3370BC - 3090BC,Wales,Powys,"Bone (human, adult ?female, cranium)",AMS,Cotswold-Severn tomb with earlier rotunda.,,N,,Ty-Isaf,OxA-12055,3370BC - 3090BC,Cymru,Powys,"Asgwrn (dynol, oedolyn ?benyw, creuan)",AMS,Beddrod Cotswold-Hafren gyda rotwnda cynharach.,,N
Ty-Isaf,OxA-14248,2900BC - 2670BC,Wales,Powys,"Bone (human, cranium, individual A)",AMS,Cotswold-Severn tomb with earlier rotunda.,,N,,Ty-Isaf,OxA-14248,2900BC - 2670BC,Cymru,Powys,"Asgwrn (dynol, creuan, unigolyn A)",AMS,Beddrod Cotswold-Hafren gyda rotwnda cynharach.,,N
Ty-Isaf,OxA-14249,3500BC - 3090BC,Wales,Powys,"Bone (human, adult, right humerus)",AMS,Cotswold-Severn tomb with earlier rotunda.,,N,,Ty-Isaf,OxA-14249,3500BC - 3090BC,Cymru,Powys,"Asgwrn (dynol, oedolyn, hwmerws de)",AMS,Beddrod Cotswold-Hafren gyda rotwnda cynharach.,,N
Ty-Isaf,OxA-14250,2860BC - 2490BC,Wales,Powys,"Bone (human, cranium)",AMS,Cotswold-Severn tomb with earlier rotunda.,,N,,Ty-Isaf,OxA-14250,2860BC - 2490BC,Cymru,Powys,Asgwrn (dynol creuan),AMS,Beddrod Cotswold-Hafren gyda rotwnda cynharach.,,N
Ty-Isaf,OxA-14393,3370BC - 3090BC,Wales,Powys,"Bone (human, cranium, individual B)",AMS,Cotswold-Severn tomb with earlier rotunda.,,N,,Ty-Isaf,OxA-14393,3370BC - 3090BC,Cymru,Powys,"Asgwrn (dynol, creuan, unigolyn B)",AMS,Beddrod Cotswold-Hafren gyda rotwnda cynharach.,,N
Ty-Isaf,OxA-14394,3620BC - 3360BC,Wales,Powys,"Bone (human, adult, right humerus)",AMS,Cotswold-Severn tomb with earlier rotunda.,,N,,Ty-Isaf,OxA-14394,3620BC - 3360BC,Cymru,Powys,"Asgwrn (dynol, oedolyn, hwmerws de)",AMS,Beddrod Cotswold-Hafren gyda rotwnda cynharach.,,N
