Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Bryn Eryr,CAR-1000,180BC - AD130,Wales,Isle of Anglesey,Charcoal (floated fragments),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1000,180BC - AD130,Cymru,Ynys Môn,Golosg (darnau'n arnofio),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1001,AD120 - AD430,Wales,Isle of Anglesey,Charcoal (floated fragments),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1001,AD120 - AD430,Cymru,Ynys Môn,Golosg (darnau'n arnofio),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1002,360BC - AD10,Wales,Isle of Anglesey,"Wood (twigs, small branches)",Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1002,360BC - AD10,Cymru,Ynys Môn,"Pren (brigynnau, canghennau bach)",Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1003,AD20 - AD340,Wales,Isle of Anglesey,Charcoal (unfloated),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1003,AD20 - AD340,Cymru,Ynys Môn,Golosg (heb arnofio),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1004a,400BC - 0BC,Wales,Isle of Anglesey,Turf (coarse organic material),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1004a,400BC - 0BC,Cymru,Ynys Môn,Tywoden (deunydd organig garw),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1004b,200BC - AD90,Wales,Isle of Anglesey,Turf (fine organic material),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1004b,200BC - AD90,Cymru,Ynys Môn,Tywoden (deunydd organig main),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1042,AD130 - AD430,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1042,AD130 - AD430,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1043,AD70 - AD390,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1043,AD70 - AD390,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1057,1200BC - 830BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,"Sample might have been contaminated with coal (Longley 1998, 262).",Y,,Bryn Eryr,CAR-1057,1200BC - 830BC,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,"Sampl o bosibl wedi ei lygru gan lo (Longley 1998, 262).",Y
Bryn Eryr,CAR-1058,420BC - 90BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1058,420BC - 90BC,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-1059,110BC - AD240,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1059,110BC - AD240,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
