Vejnavn,Tællested,År,Hast.begr.,Gns. hast.
,,,km/t,km/t
HØRRETVEJ,nø.f. Obstrupvej,2004,50,34
HØVEJ,s.f. Stokbrovej,2004,80,59
HØVEJ,ø.f. Koldkilde,2004,50,41
I.P. JACOBSENS VEJ,ø.f. J.L. Heibergs Vej,2011,50,39
INDELUKKET,ø.f. Sønderskovvej,2007,50,47
J.P. LARSENS VEJ,Ved nr. 15a,2010,50,53
JARLSMINDEVEJ,m. Klokkeskovvej & Mondrupsvej,2004,40,48
JERNALDERVEJ,ø.f. adgang til Hasle bakker,2010,60,64
JOHANNES EWALDS VEJ,nv.f. Jacob Knudsens Vej,2008,50,39
JYLLANDS ALLÉ,s.f. Lyravej,2004,60,61
JYLLANDS ALLÉ,n.ø. Holme Møllevej,2007,60,63
KALØVEJ,i Mejlby,2007,50,49
KALØVEJ,ø.f. Obstrupgårdsvej,2007,80,75
KALØVEJ,ø.f. Bals Mark,2013,80,79
KASTED BYVEJ,ved nr. 7,2013,45,39
KILEPARKEN,sv.f. Havkærvej,2013,50,45
KLOKKERVEJ,v.f. Klokkerbakken,2013,50,48
KLOKKERBAKKEN,n.f. Klokkervej,2004,50,50
KLOKKERBAKKEN,n.f. nr. 42,2013,50,47
KLOKKERFALDET,Mellem nr. 61 og 62,2012,50,47
KOLDKILDE,s.f. Vennemindevej,2004,50,47
KOLDKILDE,nø.f. Engelstoft,2009,80,60
KONGSGÅRDSVEJ,s.f. Borgvold,2006,50,28
KORSAGERVEJ,sø.f. Gårdagervej,2003,50,29
KORSHØJEN,Udfor nr. 52,2010,50,29
KUNNERUPVEJ,sidevej ml. nr. 74 og 76,2009,50,32
KVÆDEVEJ,v. nr. 33,2008,50,44
KYSTVEJEN,n.f. Skt. Olufs Gade,2012,50,44
KYSTVEJEN,n.f. Nørreport,2006,50,43
L.A.RINGS VEJ,sø.f. J.F. Willumsens Vej,2005,50,41
LANDEVEJEN,sv.f. Tingskoven,2012,80,88
LANGDALSVEJ,s.f. Edwin Rahrs Vej,2006,50,56
LANGDALSVEJ,n.f. Lykkendalsvej,2006,50,53
LANGDALSVEJ,s.f. Labyrinten,2013,50,49
LANGELANDSGADE,ud for Kasernen,2013,50,53
LANGELANDSGADE,nv.f. Teglværksgade,2011,50,37
LANGENÆS ALLE,sv.f. Åbenrågade (v. Favorit),2008,50,43
LILLERINGVEJ,sv.f. Rundkørsel (Silkeborgvej),2004,50,51
LUDVIG HOLBERGS VEJ,s.f. Silkeborgvej (midt på),2005,50,38
LYNGBYGÅRDSVEJ,ø.f. Yderup (v. byzoneskilt),2003,50,40
LYNGBYGÅRDSVEJ,ø.f. Yderup (ud for nr. 66),2003,80,54
LYSTRUPVEJ,v. Lystrup Skole,2012,50,54
LYSTRUPVEJ,n.f. Djurslandmotorvejen,2011,50,39
LYSTRUPVEJ,s.f. Viengevej,2013,60,54
LYSTRUPVEJ,n.f. Grenåvej,2009,60,49
LØGTENVEJ,s.f. Bane (Grenåbanen),2003,80,68
LØGTENVEJ,n.f Kirkeholtvej,2010,80,61
MARSELIS BOULEVARD,v.f. Sydhavnsgade,2013,50,50
MARSELIS BOULEVARD,ø.f. Stadion Allé,2013,60,54
MARSELIS BOULEVARD,v.f. Kongsvang Allé,2011,60,57
